VEHTYPE,ROAD_CLASS,LOCCOORD,DISTRICT,TRAFFCTL,LIGHT,RDSFCOND,INVTYPE,IMPACTYPE,INVAGE,YEAR,TIME,LATITUDE,LONGITUDE,MONTH,DAY,PEDESTRIAN,CYCLIST,AUTOMOBILE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,ACCLASS
Other,Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,30 to 34,2007,19,43.768845,-79.41279,6,3,1,0,1,0,0,0,0,0,0
Other,Collector,Mid-Block,North York,No Control,Dark,Dry,Vehicle Owner,Approaching,unknown,2007,21,43.698345,-79.46229,6,4,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Collector,Mid-Block,North York,No Control,Dark,Dry,Driver,Approaching,20 to 24,2007,21,43.698345,-79.46229,6,4,0,0,1,0,0,1,1,1,0
Other,Collector,Mid-Block,North York,No Control,Dark,Dry,Passenger,Approaching,0 to 4,2007,21,43.698345,-79.46229,6,4,0,0,1,0,0,1,1,1,0
Other,Collector,Mid-Block,North York,No Control,Dark,Dry,Passenger,Approaching,5 to 9,2007,21,43.698345,-79.46229,6,4,0,0,1,0,0,1,1,1,0
Other,Collector,Mid-Block,North York,No Control,Dark,Dry,Vehicle Owner,Approaching,unknown,2007,21,43.698345,-79.46229,6,4,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Collector,Mid-Block,North York,No Control,Dark,Dry,Driver,Approaching,25 to 29,2007,21,43.698345,-79.46229,6,4,0,0,1,0,0,1,1,1,0
Other,Local,Intersection,Etobicoke York,No Control,Dark,Dry,Vehicle Owner,SMV Other,unknown,2007,2,43.716345,-79.55349,6,5,0,0,1,0,0,0,1,1,1
"Automobile, Station Wagon",Local,Intersection,Etobicoke York,No Control,Dark,Dry,Driver,SMV Other,15 to 19,2007,2,43.716345,-79.55349,6,5,0,0,1,0,0,0,1,1,1
"Automobile, Station Wagon",Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Driver,Cyclist Collisions,45 to 49,2007,15,43.674945,-79.39569,6,5,0,1,1,0,0,0,0,0,0
Bicycle,Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Cyclist,Cyclist Collisions,50 to 54,2007,15,43.674945,-79.39569,6,5,0,1,1,0,0,0,0,0,0
