VEHTYPE,ACCNUM
"Automobile, Station Wagon",903913
Motorcycle,903913
"Automobile, Station Wagon",902826
Bicycle,902826
Other,900756
"Automobile, Station Wagon",900756
Other,900756
"Automobile, Station Wagon",904912
Other,904912
"Automobile, Station Wagon",904912
"Automobile, Station Wagon",904107
Other,904107
Other,904105
Other,904105
"Automobile, Station Wagon",904105
"Automobile, Station Wagon",904105
Other,904367
"Automobile, Station Wagon",904367
Other,904367
"Automobile, Station Wagon",904367
"Automobile, Station Wagon",904251
Other,904251
Other,901141
"Automobile, Station Wagon",907409
Motorcycle,911757
Motorcycle,910258
"Automobile, Station Wagon",911757
Other,910277
Other,902180
"Automobile, Station Wagon",910277
"Automobile, Station Wagon",902180
Other,910277
Other,907646
"Automobile, Station Wagon",907646
Municipal Transit Bus (TTC),926382
Municipal Transit Bus (TTC),926382
Bicycle,926382
Other,910569
Motorcycle,910569
"Automobile, Station Wagon",914977
Other,914977
Other,914977
Other,914977
Other,914977
Other,914977
"Automobile, Station Wagon",910951
Other,910951
"Automobile, Station Wagon",908396
"Automobile, Station Wagon",908396
"Automobile, Station Wagon",908396
"Automobile, Station Wagon",911012
Other,911012
"Automobile, Station Wagon",908674
Other,908674
"Automobile, Station Wagon",915000
Other,915000
"Automobile, Station Wagon",915000
"Automobile, Station Wagon",911355
Bicycle,911355
Other,911964
"Automobile, Station Wagon",911964
Other,911964
"Automobile, Station Wagon",911839
Bicycle,911839
Other,911972
"Automobile, Station Wagon",911972
Bicycle,911972
Other,911524
"Automobile, Station Wagon",911524
Bicycle,911524
Other,909071
"Automobile, Station Wagon",909071
"Automobile, Station Wagon",909071
Other,909261
Other,909261
Municipal Transit Bus (TTC),909261
"Automobile, Station Wagon",911973
Other,911973
"Automobile, Station Wagon",911449
"Automobile, Station Wagon",911449
Other,911449
"Automobile, Station Wagon",911449
Other,909409
Motorcycle,909409
Other,909409
Other,909409
Other,909409
"Automobile, Station Wagon",909409
Other,918059
Other,918059
Bicycle,918059
"Automobile, Station Wagon",916584
Bicycle,916584
"Automobile, Station Wagon",909745
Other,909745
Other,913254
"Automobile, Station Wagon",913254
Bicycle,913254
"Automobile, Station Wagon",913263
Bicycle,913288
"Automobile, Station Wagon",913288
Other,911228
Motorcycle,911228
"Automobile, Station Wagon",913296
"Automobile, Station Wagon",905024
Other,905024
"Automobile, Station Wagon",905249
Other,905249
"Automobile, Station Wagon",903786
Other,903786
Other,909657
"Automobile, Station Wagon",909657
"Automobile, Station Wagon",909657
Other,909657
Other,909657
"Automobile, Station Wagon",906225
Other,906225
"Automobile, Station Wagon",919534
Bicycle,919534
"Automobile, Station Wagon",903449
Other,903449
"Automobile, Station Wagon",916560
Other,916560
"Automobile, Station Wagon",916560
Other,916560
Other,903914
Other,903914
Other,903914
"Automobile, Station Wagon",903914
Other,903914
"Automobile, Station Wagon",907762
Other,907762
"Automobile, Station Wagon",907762
"Automobile, Station Wagon",907762
"Automobile, Station Wagon",904456
Other,904456
"Automobile, Station Wagon",907900
"Automobile, Station Wagon",907900
Other,912231
"Automobile, Station Wagon",912231
Bicycle,912231
Other,917581
Bicycle,917581
Bicycle,905457
Other,908702
Other,908702
Other,908702
Other,908702
"Automobile, Station Wagon",908702
Other,905408
Other,905408
Other,905408
"Automobile, Station Wagon",905408
Other,905408
"Automobile, Station Wagon",905456
Other,905456
"Automobile, Station Wagon",905456
Other,905456
"Automobile, Station Wagon",905456
"Automobile, Station Wagon",905456
Other,908832
Other,908832
"Automobile, Station Wagon",908832
Other,908832
Other,908832
Motorcycle,905761
Other,909606
Other,909606
Other,909606
"Automobile, Station Wagon",909606
"Automobile, Station Wagon",909606
"Automobile, Station Wagon",906207
Other,906207
Other,906410
"Automobile, Station Wagon",906410
Other,906410
"Automobile, Station Wagon",906526
Other,906553
Other,906553
Other,948311
"Automobile, Station Wagon",948311
"Automobile, Station Wagon",948311
"Automobile, Station Wagon",948322
Other,948322
"Automobile, Station Wagon",948322
Other,948356
"Automobile, Station Wagon",948356
Other,948356
"Automobile, Station Wagon",948356
Other,948356
"Automobile, Station Wagon",930852
Motorcycle,946202
Other,946528
"Automobile, Station Wagon",946528
"Automobile, Station Wagon",950050
Other,946528
Other,947325
"Automobile, Station Wagon",947325
Other,947325
"Automobile, Station Wagon",951904
"Automobile, Station Wagon",954598
Other,954598
"Automobile, Station Wagon",950601
Other,950601
Other,949215
"Automobile, Station Wagon",949215
Other,949215
Other,947071
Other,947071
"Automobile, Station Wagon",947071
Other,947071
"Automobile, Station Wagon",949730
Other,949730
"Automobile, Station Wagon",949730
"Automobile, Station Wagon",949730
"Automobile, Station Wagon",949724
Other,949724
"Automobile, Station Wagon",949724
Other,949724
Other,950308
Other,950308
"Automobile, Station Wagon",950308
Other,950308
"Automobile, Station Wagon",950308
Other,950302
Truck - Open,950302
"Automobile, Station Wagon",950302
"Automobile, Station Wagon",950150
Other,950150
Other,950372
Municipal Transit Bus (TTC),950372
Other,950372
Other,950837
Truck - Open,950837
"Automobile, Station Wagon",950837
Other,950835
Other,950835
"Automobile, Station Wagon",950835
"Automobile, Station Wagon",950847
Other,950847
Other,949483
"Automobile, Station Wagon",949483
Other,949483
Other,957650
Truck - Open,957650
"Automobile, Station Wagon",957650
Other,957650
"Automobile, Station Wagon",957650
Other,952422
Municipal Transit Bus (TTC),952422
"Automobile, Station Wagon",952422
Other,952422
Other,952335
"Automobile, Station Wagon",952335
Other,952335
"Automobile, Station Wagon",952478
Other,952478
"Automobile, Station Wagon",952478
Other,957981
Other,941871
Other,957981
"Automobile, Station Wagon",957981
Other,954013
Truck - Open,954013
Other,954013
"Automobile, Station Wagon",954398
"Automobile, Station Wagon",935384
Other,954398
"Automobile, Station Wagon",954826
Other,951783
"Automobile, Station Wagon",951783
"Automobile, Station Wagon",951783
Other,951120
"Automobile, Station Wagon",951120
"Automobile, Station Wagon",951120
Other,957028
"Automobile, Station Wagon",957028
Other,951370
"Automobile, Station Wagon",951370
Other,951370
Other,951370
"Automobile, Station Wagon",951370
Other,951370
"Automobile, Station Wagon",965369
"Automobile, Station Wagon",930852
Other,968739
"Automobile, Station Wagon",928049
"Automobile, Station Wagon",967550
Other,941871
"Automobile, Station Wagon",950050
Other,927151
"Automobile, Station Wagon",964870
Other,928049
"Automobile, Station Wagon",957730
"Automobile, Station Wagon",990835
"Automobile, Station Wagon",968739
Other,968739
Other,935384
Other,927151
"Automobile, Station Wagon",957730
"Automobile, Station Wagon",960364
"Automobile, Station Wagon",928049
Bicycle,990835
Bicycle,964870
"Automobile, Station Wagon",968739
"Automobile, Station Wagon",928049
"Automobile, Station Wagon",927151
"Automobile, Station Wagon",942726
"Automobile, Station Wagon",935384
"Automobile, Station Wagon",960364
Other,961366
"Automobile, Station Wagon",942726
Other,928049
Other,960364
Other,928049
"Automobile, Station Wagon",957730
"Automobile, Station Wagon",942726
Other,961366
Other,935384
Other,927151
"Automobile, Station Wagon",968739
"Automobile, Station Wagon",951700
"Automobile, Station Wagon",923176
"Automobile, Station Wagon",941748
"Automobile, Station Wagon",960364
Other,961366
Other,961100
Other,961366
Other,941748
Other,961100
Other,961366
"Automobile, Station Wagon",969630
Other,951700
Other,927151
Other,923394
Motorcycle,930890
"Automobile, Station Wagon",942334
Other,931507
Other,961100
"Automobile, Station Wagon",961366
Other,969630
Truck - Open,923394
"Automobile, Station Wagon",931507
"Automobile, Station Wagon",942334
Other,941748
"Automobile, Station Wagon",927151
Other,961100
Bicycle,923394
"Automobile, Station Wagon",946237
Other,941748
Other,958325
Other,923894
"Automobile, Station Wagon",927151
"Automobile, Station Wagon",961100
Other,969630
Other,931507
Other,962798
Other,946237
"Automobile, Station Wagon",927841
"Automobile, Station Wagon",941748
"Automobile, Station Wagon",966627
"Automobile, Station Wagon",961100
Other,966627
Other,932337
Other,946237
Other,927841
Other,941748
"Automobile, Station Wagon",962798
"Automobile, Station Wagon",946237
"Automobile, Station Wagon",941748
"Automobile, Station Wagon",923894
"Automobile, Station Wagon",958325
Other,966632
"Automobile, Station Wagon",932337
Other,962798
Other,927542
Other,958325
Municipal Transit Bus (TTC),966632
"Automobile, Station Wagon",961264
Other,932337
Other,962798
"Automobile, Station Wagon",957751
Other,942452
Other,923894
Other,942131
"Automobile, Station Wagon",957751
"Automobile, Station Wagon",932337
"Automobile, Station Wagon",927542
"Automobile, Station Wagon",923894
"Automobile, Station Wagon",942131
"Automobile, Station Wagon",933951
"Automobile, Station Wagon",958067
"Automobile, Station Wagon",962798
Other,966632
"Automobile, Station Wagon",961264
Other,942452
Other,923894
Other,942131
Other,933951
Other,927542
Other,936387
Other,971237
Other,962798
Other,923894
"Automobile, Station Wagon",942131
Other,961264
"Automobile, Station Wagon",942452
Other,971237
"Automobile, Station Wagon",962798
"Automobile, Station Wagon",942286
"Automobile, Station Wagon",936387
Municipal Transit Bus (TTC),958067
Other,942452
Other,936387
Municipal Transit Bus (TTC),958067
Other,927542
"Automobile, Station Wagon",971237
Other,961870
Other,942286
Truck - Open,961264
Other,923894
Other,951917
"Automobile, Station Wagon",946585
Other,934070
Other,942296
Other,935412
"Automobile, Station Wagon",971237
"Automobile, Station Wagon",951917
"Automobile, Station Wagon",923894
"Automobile, Station Wagon",961870
Other,946585
Other,961264
Other,934070
"Automobile, Station Wagon",942296
Other,958350
"Automobile, Station Wagon",958350
Other,958350
"Automobile, Station Wagon",958350
"Automobile, Station Wagon",958123
Other,958123
Other,952125
"Automobile, Station Wagon",952125
Other,952260
"Automobile, Station Wagon",952260
"Automobile, Station Wagon",952260
"Automobile, Station Wagon",952260
"Automobile, Station Wagon",952260
"Automobile, Station Wagon",952260
Other,974158
Other,974158
Other,974158
Other,974158
"Automobile, Station Wagon",974158
Other,952529
"Automobile, Station Wagon",952529
Other,952529
"Automobile, Station Wagon",959650
Other,959650
"Automobile, Station Wagon",976566
Bicycle,976566
Other,958900
Truck - Open,958900
Other,958900
Other,958900
"Automobile, Station Wagon",953178
Other,953178
"Automobile, Station Wagon",958999
Other,958999
Truck - Open,958999
Other,958999
Other,953726
"Automobile, Station Wagon",953726
"Automobile, Station Wagon",953726
"Automobile, Station Wagon",959236
Other,959236
Other,959236
"Automobile, Station Wagon",953931
Other,953931
"Automobile, Station Wagon",953931
"Automobile, Station Wagon",953931
Other,956470
"Automobile, Station Wagon",956470
Other,956470
Other,956470
Other,956470
Other,956470
