ROAD_CLASS,ACCNUM,new
Major Arterial,9001581091,Major Arterial
Major Arterial,9001579618,Major Arterial
Major Arterial,9001579618,Major Arterial
Major Arterial,9001567652,Major Arterial
Major Arterial,9001567652,Major Arterial
Minor Arterial,9001563776,Minor Arterial
Minor Arterial,9001563776,Minor Arterial
Minor Arterial,9001563776,Minor Arterial
Major Arterial,9001547206,Major Arterial
Major Arterial,9001547206,Major Arterial
Major Arterial,9001547206,Major Arterial
Major Arterial,9001541492,Major Arterial
Major Arterial,9001541492,Major Arterial
Major Arterial,9001541492,Major Arterial
Minor Arterial,9001536611,Minor Arterial
Minor Arterial,9001536611,Minor Arterial
Minor Arterial,9001536611,Minor Arterial
Minor Arterial,9001536611,Minor Arterial
Minor Arterial,9001536611,Minor Arterial
Major Arterial,9001534741,Major Arterial
Major Arterial,9001534741,Major Arterial
Major Arterial,9001526087,Major Arterial
Major Arterial,9001526087,Major Arterial
Major Arterial,9001520840,Major Arterial
Major Arterial,9001520840,Major Arterial
Major Arterial,9001520840,Major Arterial
Major Arterial,9001520840,Major Arterial
Major Arterial,9001520840,Major Arterial
Major Arterial,9001520840,Major Arterial
Major Arterial,9001504654,Major Arterial
Major Arterial,9001504654,Major Arterial
Major Arterial,9001479866,Major Arterial
Major Arterial,9001479866,Major Arterial
Major Arterial,9001478007,Major Arterial
Major Arterial,9001478007,Major Arterial
Minor Arterial,9001473932,Minor Arterial
Minor Arterial,9001473932,Minor Arterial
Minor Arterial,9001473932,Minor Arterial
Minor Arterial,9001473932,Minor Arterial
Minor Arterial,9001473932,Minor Arterial
Major Arterial,9001468146,Major Arterial
Major Arterial,9001468146,Major Arterial
Major Arterial,9001468146,Major Arterial
Major Arterial,9001466378,Major Arterial
Major Arterial,9001466378,Major Arterial
Major Arterial,9001466378,Major Arterial
Major Arterial,9001464192,Major Arterial
Major Arterial,9001464192,Major Arterial
Major Arterial,9001464192,Major Arterial
Major Arterial,9001464192,Major Arterial
Major Arterial,9001464095,Major Arterial
Major Arterial,9001464095,Major Arterial
Major Arterial,9001464052,Major Arterial
Major Arterial,9001462666,Major Arterial
Major Arterial,9001460001,Major Arterial
Major Arterial,9001460001,Major Arterial
Major Arterial,9001444522,Major Arterial
Major Arterial,9001444522,Major Arterial
Major Arterial,9001444522,Major Arterial
Major Arterial,9001444522,Major Arterial
Collector,9001442933,Collector
Collector,9001442933,Collector
Collector,9001442933,Collector
Collector,9001442933,Collector
Expressway,9001441633,Expressway
Expressway,9001441633,Expressway
Expressway,9001441633,Expressway
Expressway,9001441633,Expressway
Major Arterial,9001437273,Major Arterial
Major Arterial,9001437273,Major Arterial
Major Arterial,9001437273,Major Arterial
Minor Arterial,9001431003,Minor Arterial
Minor Arterial,9001431003,Minor Arterial
Minor Arterial,9001429449,Minor Arterial
Minor Arterial,9001429449,Minor Arterial
Minor Arterial,9001429449,Minor Arterial
Major Arterial,9001420476,Major Arterial
Major Arterial,9001420476,Major Arterial
Major Arterial,9001419121,Major Arterial
Major Arterial,9001419121,Major Arterial
Local,9001417397,Local
Local,9001417397,Local
Major Arterial,9001409746,Major Arterial
Major Arterial,9001409746,Major Arterial
Major Arterial,9001409746,Major Arterial
Major Arterial,9001409746,Major Arterial
Major Arterial,9001409746,Major Arterial
Major Arterial,9001409746,Major Arterial
Major Arterial,9001407321,Major Arterial
Major Arterial,9001407321,Major Arterial
Major Arterial,9001407321,Major Arterial
Major Arterial,9001407321,Major Arterial
Major Arterial,9001407311,Major Arterial
Major Arterial,9001407311,Major Arterial
Major Arterial,9001407311,Major Arterial
Major Arterial,9001401954,Major Arterial
Major Arterial,9001401954,Major Arterial
Major Arterial,9001400690,Major Arterial
Major Arterial,9001400690,Major Arterial
Major Arterial,9001400001,Major Arterial
Major Arterial,9001400001,Major Arterial
Major Arterial,9001388316,Major Arterial
Major Arterial,9001388316,Major Arterial
Major Arterial,9001372867,Major Arterial
Major Arterial,9001372867,Major Arterial
Major Arterial,9001365685,Major Arterial
Major Arterial,9001365685,Major Arterial
Major Arterial,9001365685,Major Arterial
Major Arterial,9001365685,Major Arterial
Major Arterial,9001365685,Major Arterial
Major Arterial,9001359659,Major Arterial
Major Arterial,9001359659,Major Arterial
